genus	mean.weight
Prevotella	-0.004355646640126231
Dorea_B	-0.004724816803688142
Phascolarctobacterium_A	-0.004342557946468737
Clostridium_P	-0.004247637358037067
UBA2883	-0.004230010653051893
Anaerofilum	-0.00474407690447952
Campylobacter	-0.005070657908637858
UBA866	-0.005007213626513679
Jejubacter	-0.006109850961152806
UBA7050	-0.006445937629193021
Ezakiella	-0.006518578665888771
Paratractidigestivibacter	-0.006276534061488677
Edaphobacter	-0.006366398971202678
Phocea	-0.006838048834229557
Abiotrophia	-0.007003444486019474
Atopobium	-0.00672897794363304
Pantoea	-0.006380209279498855
Proteiniphilum	-0.008236110508686152
Pelagibacter	-0.007421996235701857
Pseudescherichia	-0.007789409051177907
UBA1259	-0.007826543613298433
Clostridium_J	-0.00900149829310392
Variovorax	-0.00857957542559752
CAG-603	-0.008875597024744334
Acetatifactor	-0.009222478235925542
Scatacola_A	-0.0096397825206012
SFEL01	-0.009423184879280951
Leuconostoc	-0.010353036497574302
OLB17	-0.009875678333342141
Coprococcus_A	-0.011323287278840544
Scatousia	-0.011992492068277589
Holdemania	-0.01163380872187372
Klebsiella	-0.011540973690153068
Roseburia	-0.012631045277583379
CAG-1000	-0.012485632721171262
Fimimonas	-0.012060060641146035
Enterococcus	-0.012873136433187847
CAG-475	-0.01259647501619352
Johnsonella	-0.012362604562819075
CAG-177	-0.012753014851144662
Alloscardovia	-0.0129653733424164
CAG-314	-0.013008491834437813
Coprobacillus	-0.012807113998033007
Ruminococcus_B	-0.013133627661608999
Phocaeicola_A	-0.013491456970459849
Lacticaseibacillus	-0.012884132033856426
CAG-273	-0.013072500202602132
Treponema_D	-0.013688651841785537
Methanosphaera	-0.014009103931278471
Paralachnospira	-0.014052695699601133
Marseille-P3106	-0.01418656458510628
Marseille-P2935	-0.0144005940069934
Acetobacterium	-0.014796993782542128
Scatocola	-0.014900928499832261
Serratia	-0.015327718481505374
OM05-12	-0.01600831056482855
Bacillus_A	-0.015895261747424394
Slackia	-0.01572138233501455
JJ008	-0.015366184770714773
